video_uid,split,level,start_time,end_time,verb_label,noun_label
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1069.348,1298.594,49,89
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1070.09237,1158.54893,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1158.78141,1189.912,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1191.26881,1204.66377,4,135
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1206.71,1214.375,49,89
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1269.62951,1275.59286,79,37
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1295.53462,1298.39194,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1298.66082,1327.0985,0,100
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1381.06481,1383.41099,11,65
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1384.246,1404.91851,0,84
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1410.80762,1430.91046,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1432.40071,1592.63928,26,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1452.19807,1550.37919,60,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1550.75814,1561.97774,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1562.32958,1581.47052,60,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1593.50734,1618.07144,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1620.10678,1637.9251,0,12
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1644.76011,1671.75117,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1673.08026,1682.64137,74,94
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1683.30619,1696.8506,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1697.71284,1705.06802,0,12
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1713.402,1730.80651,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1730.87317,1743.1957,66,37
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1744.34296,1750.37289,66,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1750.93481,1798.26472,60,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1798.82281,1855.1873,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1858.75529,1907.81831,0,134
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1910.99582,1930.38299,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1930.54669,1935.57895,57,37
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,1957.37347,2136.65128,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1963.32008,1966.99936,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1967.13701,1968.000485,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1968.200485,1969.63369,0,135
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1969.83369,1973.536105,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1973.736105,1975.293785,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1975.493785,1978.86987,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1978.86987,1980.23384,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,1980.84635,2006.64842,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2006.86976,2009.04106,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2009.49285,2016.56352,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2016.60082,2019.236,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2019.72447,2056.05168,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2056.653,2058.91305,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2059.18397,2066.39996,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2066.65878,2068.50977,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2068.68917,2085.44506,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2085.51449,2088.2801,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2088.49316,2127.72956,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,2137.68395,2154.23627,66,37
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,2154.80051,2179.03878,66,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,2180.18,2183.84214,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,2187.20185,2402.66964,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2189.85671,2199.57422,63,48
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2199.88619,2205.97119,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2206.29259,2213.4434,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2214.06903,2216.78928,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2216.9065,2228.74904,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2229.58036,2232.42017,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2232.48794,2249.44496,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2249.91168,2252.69836,0,61
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2252.95866,2278.59501,34,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2280.31201,2288.00827,6,38
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,substep,2291.28602,2400.23715,32,40
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,2402.80297,2409.90028,6,58
39d087b0-afc2-47d8-ba91-b70dd8fab90e,train,step,2410.58382,2435.32028,66,37
