class_id,class_key,members,segment_count
0,add,add,6006
1,adjust,adjust,55
2,bake,bake,326
3,blanch,blanch,19
4,boil,boil,569
5,braise,braise,13
6,check,check,1449
7,clean,clean,657
8,clear,clear,41
9,coat,coat,233
10,cook,cook,1394
11,cover,cover,194
12,crack,crack,58
13,cut,cut,2751
14,dispose,dispose,701
15,do,do,21
16,dough,dough,131
17,drain,drain,56
18,drink,drink,125
19,eat,eat,118
20,fill,fill,107
21,flatten,flatten,37
22,flip,flip,1008
23,fold,fold,16
24,fry,fry,288
25,garnish,garnish,44
26,get,fetch;get;take,876
27,grate,grate,126
28,grill,grill,44
29,grind,grind,130
30,harvest,harvest,82
31,interact,interact,42
32,knead,knead,753
33,knit,knit,18
34,make,make,596
35,marinate,marinate,49
36,mash,mash,64
37,measure,measure,234
38,melt,melt,18
39,mix,beat;blend;mix;whisk,696
40,move,move,52
41,open,open,99
42,operate,operate,136
43,organize,arrange;organize,1372
44,pack,pack,130
45,pan,pan,180
46,peel,peel,541
47,perform,perform,158
48,pour,pour,101
49,preheat,preheat,337
50,prepare,prepare,60
51,press,press,671
52,proof,proof,60
53,put,place;put;set,1111
54,remove,remove,479
55,return,return,210
56,roll,roll,778
57,serve,serve,1029
58,shape,shape,369
59,shuck,shuck,35
60,sieve,sieve,52
61,simmer,simmer,117
62,spread,spread,55
63,sprinkle,sprinkle,221
64,squeeze,squeeze,414
65,steam,steam,21
66,stir,stir,3322
67,store,store,554
68,strain,strain,232
69,taste,taste,201
70,toast,toast,43
71,transfer,transfer,238
72,turn,turn,341
73,unpack,unpack,214
74,use,use,662
75,warm,warm,58
76,wash,wash,3037
77,watch,watch,21
78,wear,wear,11
79,wipe,wipe,402
80,wrap,wrap,123
